"DNA.1" "DNA.2" "DNA.3" "DNA.4" "DNA.5" "DNA.6" "RNA.1" "RNA.2" "RNA.3" "RNA.4" "RNA.5" "RNA.6" "group" "group2" "group3"
"chr10:61956934-61957334" 3231 3428 3507 4409 4576 3838 2443 2618 1405 1159 1511 1791 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:62006144-62006544" 493 351 460 486 577 528 1422 1349 669 750 739 1201 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:62050328-62050728" 1055 395 756 830 1212 912 1181 1158 595 548 722 1010 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:62113465-62113865" 4348 3066 3889 4826 5458 4595 1505 1639 1005 876 891 1410 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:62176682-62177082" 468 317 419 582 633 534 419 462 288 203 262 421 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:62205872-62206272" 191 41 69 128 160 153 170 107 63 73 76 100 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:62366273-62366673" 365 343 392 439 493 476 633 696 283 217 290 331 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:62423004-62423404" 1272 859 1069 1313 1636 1222 1866 2221 925 905 1014 1619 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:62587776-62588176" 222 107 177 214 282 226 241 175 100 68 73 76 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:62750497-62750897" 1867 1624 1549 2138 2007 1761 3044 2855 1668 1543 1637 1728 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:62835396-62835796" 7 4 10 16 15 17 11 20 0 4 19 17 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:64863791-64864191" 1018 701 940 1197 1329 1229 152 202 121 85 67 131 "d0_noncoding" "Neg" "Neg_1"
"chr10:70631081-70631481" 119 38 56 91 128 108 303 191 151 116 171 304 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:70636296-70636696" 851 387 590 785 1030 851 549 529 268 263 243 447 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:71092957-71093357" 311 245 309 426 558 296 292 236 108 175 110 247 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:72215031-72215431" 1007 678 1003 1073 1285 1087 957 1013 627 571 422 1336 "d0_noncoding" "Neg" "Neg_1"
"chr10:73104283-73104683" 3104 2408 3181 3842 4097 3253 7408 7479 4955 4931 4007 8584 "d0_noncoding" "Neg" "Neg_1"
"chr10:75473660-75474060" 167 87 104 160 175 140 106 88 59 34 63 59 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:75816270-75816670" 3526 2412 3008 3730 3878 3476 3692 3799 2003 1947 2306 2535 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:76123930-76124330" 157 55 109 123 155 139 629 589 536 493 503 528 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:76345841-76346241" 74 78 86 89 114 122 29 29 17 16 12 22 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:76681461-76681861" 513 445 479 546 688 642 206 225 199 120 99 176 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:76951787-76952187" 43 30 38 41 58 33 22 22 27 33 6 25 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:7837613-7838013" 70 24 37 64 99 78 30 23 18 15 13 47 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:79608845-79609245" 4808 3853 4925 5513 6240 5423 3232 3466 1972 1657 1122 3784 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:79679437-79679837" 18033 20587 19685 22881 22613 19525 12803 14197 6835 6460 5608 8700 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:80911479-80911879" 906 687 807 922 1294 988 1058 1203 646 735 356 1508 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:80943881-80944281" 2562 2595 2800 3301 3317 2640 1599 1719 1008 895 818 1933 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:81184275-81184675" 8316 8465 8672 9838 10368 8325 4252 5204 2732 2565 2049 5087 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:81192977-81193377" 1430 1019 1283 1350 1749 1562 1700 1620 878 786 552 1710 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:81248039-81248439" 756 599 742 856 1015 850 652 683 325 248 250 532 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:834925-835325" 884 725 683 991 902 643 485 439 238 299 337 245 "d0_noncoding" "Neg" "Neg_1"
"chr10:85305680-85306080" 553 327 389 582 621 572 439 370 193 205 205 360 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:85385459-85385859" 143 105 147 176 178 156 388 725 256 219 219 265 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:85437571-85437971" 702 273 474 633 937 729 2731 2558 1575 1286 1531 2865 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:86392565-86392965" 274 152 179 258 301 312 84 115 90 46 61 103 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:86466613-86467013" 2231 2222 2470 2897 2848 2278 2602 3182 1382 1524 992 1902 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:86561732-86562132" 708 448 553 771 778 674 341 279 178 183 210 247 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:86585114-86585514" 270 198 221 362 462 381 1939 1863 1005 879 1034 1757 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:86586500-86586900" 133 52 47 96 139 128 57 48 40 27 22 46 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:86596777-86597177" 2534 1874 2331 2763 3126 2707 2094 2420 1192 1069 1002 1685 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:86602366-86602766" 442 168 338 366 469 483 992 955 543 480 516 831 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:86662254-86662654" 1331 1261 1216 1632 1504 1427 532 788 342 331 301 509 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:88432174-88432574" 828 374 636 763 994 864 811 729 971 797 347 1818 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:88534943-88535343" 722 569 607 777 845 702 1728 1535 826 848 1060 980 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:88600275-88600675" 691 549 503 659 679 506 1105 1365 647 654 705 834 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:88660721-88661121" 24902 25471 26587 32012 33390 26674 11156 12735 7024 6207 7420 9447 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:89494955-89495355" 2138 1569 1753 2164 2521 2063 853 829 455 433 438 716 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:89509655-89510055" 664 453 533 728 845 670 1552 2090 970 937 1080 1322 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:89822587-89822987" 736 320 543 627 950 792 491 560 296 225 271 344 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:89839892-89840292" 203 95 113 187 178 152 502 282 197 200 256 278 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:92154044-92154444" 464 238 331 407 482 502 216 188 71 111 124 165 "d0_noncoding" "Neg" "Neg_1"
"chr10:92418556-92418956" 344 383 376 499 556 458 116 117 54 26 37 68 "d0_noncoding" "Neg" "Neg_1"
"chr10:92483204-92483604" 982 742 781 1070 1177 959 755 979 433 469 360 690 "d0_noncoding" "Neg" "Neg_1"
"chr10:93412202-93412602" 412 302 323 405 509 486 200 273 117 94 156 240 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:94253117-94253517" 240 82 148 190 246 257 127 146 55 70 83 138 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:97020257-97020657" 4570 4177 4839 6059 6011 5339 2590 2845 1378 1275 1068 1995 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:97028221-97028621" 8463 8786 8733 10516 10237 9030 8442 9702 3595 3546 2537 5295 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:97268513-97268913" 197 124 110 202 196 143 464 576 205 200 157 405 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:97277225-97277625" 2611 2193 2429 3126 3033 2572 2187 2410 1110 1024 1040 1585 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:97364892-97365292" 263 238 240 364 454 285 108 157 56 69 40 75 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:100791019-100791419" 336 177 302 372 530 441 29 34 18 19 9 15 "d0_noncoding" "Neg" "Neg_1"
"chr1:101669574-101669974" 2169 2218 2200 2640 2547 2391 10053 11050 5817 5542 5923 7762 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:10601336-10601736" 8784 8281 9288 10770 11540 9371 8281 8034 4557 5597 6280 6359 "d0_noncoding" "Neg" "Neg_1"
"chr1:10616196-10616596" 2360 2074 2269 2566 3014 2415 3244 3484 1780 1870 1542 3527 "d0_noncoding" "Neg" "Neg_1"
"chr1:109986035-109986435" 799 330 505 682 881 812 586 476 335 295 357 406 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:110040903-110041303" 1181 936 958 1229 1310 1122 2376 1827 904 1185 742 2333 "d0_noncoding" "Neg" "Neg_1"
"chr11:10043136-10043536" 217 103 180 231 240 202 126 115 72 90 98 153 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:10072090-10072490" 107 60 78 106 95 132 336 312 232 190 265 248 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:102039231-102039631" 146 50 113 145 201 169 147 117 93 74 146 114 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:102063425-102063825" 128 78 71 76 96 120 73 62 57 54 51 71 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:102340090-102340490" 1155 689 996 1326 1496 1145 226 293 176 157 144 296 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:102347562-102347962" 103 59 91 76 106 98 72 73 46 36 53 74 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:110274660-110275060" 30 9 22 17 19 34 8 10 8 2 13 10 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:110496843-110497243" 660 516 622 834 984 788 422 504 300 297 324 420 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:110602707-110603107" 1666 1943 1587 2004 1976 1660 2129 2172 1065 1115 916 1781 "d0_noncoding" "Neg" "Neg_1"
"chr11:107787686-107788086" 8564 6857 7579 9909 10962 9320 4719 4905 2630 2298 1197 3820 "d0_noncoding" "Neg" "Neg_1"
"chr11:107896427-107896827" 218 92 117 140 220 180 201 222 97 105 80 99 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:107906403-107906803" 685 596 544 693 868 733 839 926 483 452 488 836 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:111597044-111597444" 2932 2753 2973 3478 3237 3080 1372 1598 686 681 538 1103 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:112604921-112605321" 1184 908 1198 1454 1580 1229 444 360 219 220 200 364 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:112648103-112648503" 12650 13654 13449 15746 16587 13775 21193 23210 10917 11432 7123 22044 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:112705158-112705558" 2275 1647 1927 2415 2892 2382 832 994 547 566 346 898 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:112965919-112966319" 1635 1383 1705 1996 2110 1801 3898 4673 2086 2445 2444 3410 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:112977207-112977607" 104 22 51 74 111 98 73 99 38 35 55 68 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:112989777-112990177" 6427 5846 6753 8027 8727 7363 4162 4657 2107 1947 1776 3023 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:113050074-113050474" 107 72 119 112 180 148 92 77 30 35 46 60 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:113055224-113055624" 186 150 158 199 232 165 149 126 78 58 84 130 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:113062982-113063382" 602 451 480 655 638 546 137 187 90 84 66 127 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:114266496-114266896" 193 214 255 333 336 308 59 84 38 45 28 42 "d0_noncoding" "Neg" "Neg_1"
"chr1:111470094-111470494" 228 134 145 228 260 222 101 100 77 49 70 144 "d0_noncoding" "Neg" "Neg_1"
"chr1:111585386-111585786" 3430 2682 2899 3131 4034 3369 2376 2349 1477 1167 764 2659 "d0_noncoding" "Neg" "Neg_1"
"chr11:116316491-116316891" 302 36 130 202 434 259 197 108 87 74 125 143 "d0_noncoding" "Neg" "Neg_1"
"chr11:116370936-116371336" 1169 1151 1393 1599 1727 1339 2320 2065 1079 1122 520 2291 "d0_noncoding" "Neg" "Neg_1"
"chr11:116404151-116404551" 5301 2292 3801 4865 7386 5832 3157 3507 1646 1459 930 2674 "d0_noncoding" "Neg" "Neg_1"
"chr11:116450011-116450411" 6113 3726 4986 6021 7671 6018 1789 1986 1078 981 848 1886 "d0_noncoding" "Neg" "Neg_1"
"chr11:116580595-116580995" 675 258 424 491 649 622 599 486 305 241 164 412 "d0_noncoding" "Neg" "Neg_1"
"chr11:116602893-116603293" 3612 2780 3184 3733 4231 3615 5332 6326 2580 2578 2106 4789 "d0_noncoding" "Neg" "Neg_1"
"chr11:116831683-116832083" 243 112 181 198 267 239 95 50 41 16 22 26 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:116860886-116861286" 133 81 120 133 160 112 65 79 42 25 46 61 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:116943223-116943623" 1072 684 859 982 1103 1020 2015 2085 1315 1198 1289 1367 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:11893022-11893422" 14 3 8 3 15 11 7 7 5 8 5 17 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:119287701-119288101" 736 743 815 882 1048 817 258 298 144 147 76 276 "d0_noncoding" "Neg" "Neg_1"
"chr11:119355997-119356397" 217 180 232 230 330 290 341 379 288 274 118 527 "d0_noncoding" "Neg" "Neg_1"
"chr11:12015371-12015771" 955 608 866 916 1190 905 427 575 269 217 177 487 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:120827853-120828253" 819 831 869 969 1052 974 651 760 332 295 269 546 "d0_noncoding" "Neg" "Neg_1"
"chr11:12087730-12088130" 1832 990 1512 1833 2349 2086 1734 1563 837 745 846 1275 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:12138850-12139250" 5028 4574 5000 5980 6528 5527 5678 6449 3231 3063 2748 5568 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:12197462-12197862" 955 870 1088 1402 1252 1210 75 130 64 67 19 69 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:12595172-12595572" 1160 1026 1114 1227 1280 1201 1094 1249 716 655 623 821 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:12714142-12714542" 799 331 542 660 1033 713 405 407 256 189 83 438 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:12766359-12766759" 3168 1056 1960 2744 3346 3126 2075 1832 1206 1195 1410 2564 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:127676361-127676761" 55 24 30 27 68 52 57 24 17 22 10 21 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:128003365-128003765" 1250 868 1070 1384 1447 1326 665 536 339 284 383 728 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:12806449-12806849" 8390 5158 6969 8776 10962 8452 5716 6371 3515 2986 2473 5793 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:128105836-128106236" 1592 1218 1526 1706 1928 1748 354 411 189 193 121 284 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:128116213-128116613" 308 77 167 219 348 340 177 146 96 71 86 157 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:128206059-128206459" 2681 2527 2719 2770 3191 2771 1038 1037 552 503 330 1078 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:128231265-128231665" 752 752 700 917 908 724 1062 1158 503 558 591 845 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:12824206-12824606" 2910 1450 2168 2611 3557 2801 4494 4392 2651 2252 2289 4381 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:128259298-128259698" 1085 948 1050 1304 1400 1108 283 259 164 187 169 241 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:128261665-128262065" 208 61 102 133 202 177 459 464 348 318 385 560 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:128291494-128291894" 3850 3096 3634 4281 4391 4058 7909 8235 4658 4323 3728 7711 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:128325601-128326001" 1650 1372 1487 1543 1687 1442 1089 1207 531 560 589 762 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:12836391-12836791" 1580 1171 1400 1474 1751 1448 3288 3605 2027 1746 1369 3749 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:128485930-128486330" 5347 4224 5635 6894 7306 6104 5871 5645 3444 3451 1445 6129 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:12867516-12867916" 1046 532 746 950 1291 1037 437 595 323 249 195 538 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:12875153-12875553" 527 252 390 489 699 576 307 360 195 152 218 288 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:128764502-128764902" 1081 635 791 1174 1414 1219 550 629 387 323 317 529 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:112879570-112879970" 1389 766 1066 1468 1689 1506 2688 2529 1401 1215 1122 2212 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:129805601-129806001" 3876 3294 3639 4469 4602 4115 1167 1240 607 609 528 795 "d0_noncoding" "Neg" "Neg_1"
"chr11:130248134-130248534" 201 104 166 183 240 243 94 109 65 37 64 87 "d0_noncoding" "Neg" "Neg_1"
"chr11:130273882-130274282" 1143 744 943 1149 1336 1154 413 478 295 202 279 392 "d0_noncoding" "Neg" "Neg_1"
"chr11:131541658-131542058" 505 437 446 524 666 475 479 565 269 228 157 628 "d0_noncoding" "Neg" "Neg_1"
"chr11:131631861-131632261" 2567 775 1507 2075 2982 2378 1143 1065 696 655 695 1087 "d0_noncoding" "Neg" "Neg_1"
"chr11:131715143-131715543" 2840 1109 1606 2246 3037 2630 2698 3048 1648 1440 1176 2263 "d0_noncoding" "Neg" "Neg_1"
"chr11:131848259-131848659" 646 471 668 664 768 689 564 676 313 183 309 677 "d0_noncoding" "Neg" "Neg_1"
"chr11:131851971-131852371" 876 321 614 738 989 915 215 134 112 80 43 136 "d0_noncoding" "Neg" "Neg_1"
"chr11:131898526-131898926" 277 109 160 222 274 228 849 518 428 485 384 626 "d0_noncoding" "Neg" "Neg_1"
"chr11:131969542-131969942" 193 177 156 160 173 125 191 178 75 69 83 181 "d0_noncoding" "Neg" "Neg_1"
"chr11:1320370-1320770" 819 535 738 931 1067 918 432 453 222 188 178 417 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:113391933-113392333" 101 43 43 91 138 87 40 6 6 14 17 6 "d0_noncoding" "Neg" "Neg_1"
"chr1:113392548-113392948" 214 32 106 118 307 206 18 29 22 14 54 24 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr1:113396930-113397330" 1585 1198 1505 1608 2182 1787 47 32 14 22 16 33 "d0_noncoding" "Neg" "Neg_1"
"chr1:113540428-113540828" 1033 863 1003 1197 1323 1009 1089 1188 713 621 669 1222 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:13628218-13628618" 480 292 383 523 507 451 1224 1274 842 784 706 1005 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:13708844-13709244" 507 225 372 503 586 464 349 379 253 175 175 309 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:13897314-13897714" 1628 1369 1686 2117 2141 1735 2451 2748 1157 1300 953 1816 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:113976707-113977107" 2356 2320 2474 3033 2992 2402 1429 1984 810 708 860 1040 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:14006475-14006875" 268 234 291 302 421 267 107 250 140 116 64 137 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:14013710-14014110" 3985 1654 2576 3238 4697 3783 4147 3175 1754 1714 1154 3905 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:114050933-114051333" 906 457 629 853 1056 926 450 553 237 166 219 264 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:14103862-14104262" 679 394 578 732 750 673 1154 1116 661 564 599 699 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:11416216-11416616" 70 14 19 53 69 52 10 8 15 5 1 8 "d0_noncoding" "Neg" "Neg_1"
"chr1:11424188-11424588" 24560 22439 26268 28946 29751 25908 3488 3638 2478 2566 1156 4931 "d0_noncoding" "Neg" "Neg_1"
"chr11:14279801-14280201" 672 870 860 863 949 780 488 585 221 234 318 407 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:14402735-14403135" 0 0 3 0 0 6 0 0 0 0 0 0 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:14606141-14606541" 1025 1057 1173 1446 1219 1125 2581 2702 1514 1584 1596 2108 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:14795309-14795709" 67 6 34 40 96 46 199 79 109 104 115 213 "d0_noncoding" "Neg" "Neg_1"
"chr11:1567322-1567722" 692 661 778 819 926 682 10 20 10 7 3 6 "d0_noncoding" "Neg" "Neg_1"
"chr11:1569495-1569895" 3540 2147 2656 3100 4050 3178 625 536 316 474 401 404 "d0_noncoding" "Neg" "Neg_1"
"chr1:115722105-115722505" 5652 4581 5261 6217 6326 5327 4280 4740 2060 2032 1554 3778 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:116270390-116270790" 3249 2133 2842 3643 4303 3439 2094 2410 1554 1229 1301 2383 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:116325558-116325958" 1956 1753 1960 2238 2284 1908 1402 1417 706 617 505 1100 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:11650471-11650871" 22806 27563 26280 27898 29757 24690 26008 31252 15743 14929 16788 24441 "d0_noncoding" "Neg" "Neg_1"
"chr1:116859019-116859419" 761 696 698 907 911 918 1291 1630 695 667 765 920 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:16945472-16945872" 1218 529 881 1096 1679 1332 1717 1658 993 894 520 2215 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:16955358-16955758" 1688 1788 1919 2258 2200 2065 6833 7172 3044 3174 3122 4693 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:16958224-16958624" 1000 792 1007 1167 1189 1048 1348 1316 1157 1093 1248 1991 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:17003209-17003609" 944 748 915 1042 1060 1064 1606 1641 779 854 786 2033 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:11708799-11709199" 8890 5284 6709 7520 10330 8365 2139 1607 816 1002 1278 920 "d0_noncoding" "Neg" "Neg_1"
"chr1:117190874-117191274" 838 613 754 1060 1159 905 580 742 279 260 416 470 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:117385254-117385654" 1327 1112 1363 1641 1698 1551 1353 1617 671 671 546 1177 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:117842800-117843200" 24 26 36 46 46 35 63 47 30 30 24 57 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:117864552-117864952" 303 223 265 334 346 358 195 301 188 125 128 205 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:117931927-117932327" 143 115 125 179 182 208 421 391 259 173 115 455 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr11:17953064-17953464" 1981 1484 1826 1998 2568 2029 1627 1599 872 710 699 1084 "d0_noncoding" "Neg" "Neg_1"
"chr11:17954038-17954438" 156 76 101 135 193 177 56 36 32 42 23 18 "d0_noncoding" "Neg" "Neg_1"
"chr1:11942879-11943279" 973 1286 1167 1572 1497 1224 697 577 336 433 191 775 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
